fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
30-09-2024,USD,1.81E+11,3.91E+11,2.36E+11,2.10E+11,1.23E+11,26097000000,31370000000,57467000000,0,0,0,0,3.91E+11,0,8200000000,11445000000,1.23E+11,29749000000,0,93736000000,98016000000,1.23E+11,1.35E+11,93736000000
30-09-2023,USD,1.69E+11,3.79E+11,2.39E+11,2.14E+11,1.14E+11,24932000000,29915000000,54847000000,3750000000,-3933000000,3750000000,3933000000,3.83E+11,-382000000,8500000000,11519000000,1.14E+11,16741000000,3933000000,96995000000,96652000000,1.18E+11,1.26E+11,96995000000
30-09-2022,USD,1.71E+11,3.91E+11,2.49E+11,2.24E+11,1.19E+11,25094000000,26251000000,51345000000,2825000000,-2931000000,106000000,2931000000,3.94E+11,-228000000,8700000000,11104000000,1.19E+11,19300000000,2931000000,99803000000,88531000000,1.22E+11,1.31E+11,99803000000
30-09-2021,USD,1.53E+11,3.63E+11,2.35E+11,2.13E+11,1.09E+11,21973000000,21914000000,43887000000,2843000000,-2645000000,2843000000,2645000000,3.66E+11,60000000,9500000000,11284000000,1.09E+11,14527000000,2645000000,94680000000,95249000000,1.12E+11,1.20E+11,94680000000
30-09-2020,USD,1.05E+11,2.72E+11,1.89E+11,1.70E+11,66288000000,19916000000,18752000000,38668000000,3763000000,-2873000000,3763000000,2873000000,2.75E+11,-87000000,9700000000,11056000000,67091000000,9680000000,2873000000,57411000000,57453000000,69964000000,77344000000,57411000000
30-09-2019,USD,98392000000,2.57E+11,1.80E+11,1.62E+11,63930000000,18245000000,16217000000,34462000000,4961000000,-3576000000,4961000000,3576000000,2.60E+11,422000000,11300000000,11300000000,65737000000,10481000000,3576000000,55256000000,58037000000,69313000000,76477000000,55256000000
30-09-2018,USD,1.02E+11,2.66E+11,1.64E+11,1.64E+11,70898000000,16705000000,14236000000,30941000000,5686000000,-3240000000,5686000000,3240000000,2.66E+11,-441000000,9300000000,9300000000,72903000000,13372000000,3240000000,59531000000,56505000000,76143000000,81801000000,59531000000
30-09-2017,USD,88186000000,2.29E+11,1.41E+11,1.41E+11,61344000000,15261000000,11581000000,26842000000,5201000000,-2323000000,5201000000,2323000000,2.29E+11,-133000000,8200000000,1200000000,64089000000,15738000000,2323000000,48351000000,47567000000,66412000000,67612000000,48351000000
30-09-2016,USD,84263000000,2.16E+11,1.31E+11,1.31E+11,60024000000,14194000000,10045000000,24239000000,3999000000,-1456000000,3999000000,1456000000,0,-1195000000,8300000000,8300000000,61372000000,15685000000,1456000000,45687000000,46666000000,62828000000,71128000000,45687000000
30-09-2015,USD,93626000000,2.33E+11,1.64E+11,1.40E+11,71230000000,14329000000,8067000000,22396000000,2921000000,-733000000,0,733000000,0,-903000000,0,9200000000,72515000000,19121000000,733000000,53394000000,51967000000,73248000000,82448000000,53394000000
30-09-2014,USD,70537000000,1.82E+11,1.31E+11,1.12E+11,52503000000,11993000000,6041000000,18034000000,1795000000,-384000000,0,384000000,0,-431000000,0,6900000000,53483000000,13973000000,384000000,39510000000,41063000000,53867000000,60767000000,39510000000
